q,fonte,tipo,ano,ct,c,d,dt,nsa
1.0,curso ciência da computação - fortaleza,discentes,2016.2,41.18,48.24,7.06,3.53,0.0
2.0,curso ciência da computação - fortaleza,discentes,2016.2,49.41,44.71,3.53,2.35,0.0
3.0,curso ciência da computação - fortaleza,discentes,2016.2,56.47,38.82,4.71,0.0,0.0
4.0,curso ciência da computação - fortaleza,discentes,2016.2,55.29,38.82,4.71,1.18,0.0
5.0,curso ciência da computação - fortaleza,discentes,2016.2,58.82,31.76,7.06,2.35,0.0
6.0,curso ciência da computação - fortaleza,discentes,2016.2,41.18,35.29,15.29,4.71,3.53
7.0,curso ciência da computação - fortaleza,discentes,2016.2,44.71,40.0,10.59,4.71,0.0
8.0,curso ciência da computação - fortaleza,discentes,2016.2,40.0,42.35,7.06,3.53,7.06
9.0,curso ciência da computação - fortaleza,discentes,2016.2,43.53,42.35,8.24,0.0,5.88
10.0,curso ciência da computação - fortaleza,discentes,2016.2,30.59,40.0,10.59,2.35,16.47
11.0,curso ciência da computação - fortaleza,discentes,2016.2,32.94,47.06,10.59,8.24,1.18
1.0,departamento departamento de computação - fortaleza,docente,2016.2,57.89,36.84,5.26,0.0,0.0
2.0,departamento departamento de computação - fortaleza,docente,2016.2,57.89,31.58,10.53,0.0,0.0
3.0,departamento departamento de computação - fortaleza,docente,2016.2,63.16,31.58,0.0,5.26,0.0
4.0,departamento departamento de computação - fortaleza,docente,2016.2,42.11,15.79,31.58,10.53,0.0
5.0,departamento departamento de computação - fortaleza,docente,2016.2,31.58,36.84,21.05,5.26,5.26
6.0,departamento departamento de computação - fortaleza,docente,2016.2,26.32,52.63,15.79,5.26,0.0
7.0,departamento departamento de computação - fortaleza,docente,2016.2,21.05,36.84,42.11,0.0,0.0
8.0,departamento departamento de computação - fortaleza,docente,2016.2,26.32,52.63,10.53,5.26,5.26
9.0,departamento departamento de computação - fortaleza,docente,2016.2,26.32,36.84,21.05,10.53,5.26
10.0,departamento departamento de computação - fortaleza,docente,2016.2,15.79,57.89,15.79,0.0,10.53
11.0,departamento departamento de computação - fortaleza,docente,2016.2,42.11,31.58,21.05,5.26,0.0
